,EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
194,E1001344,40,1,3,2,5,18,2,26,3,3,74,3,2,1,1,1,14,2,8,3,2,7,7,7,5,1,3
195,E1001346,26,0,4,0,3,15,1,1,1,1,66,2,1,3,1,1,13,3,5,5,3,5,3,1,3,1,2
196,E1001348,54,0,5,2,5,18,2,2,4,3,41,2,3,3,6,1,11,2,13,4,3,9,4,7,0,1,3
197,E1001349,56,0,4,2,3,2,1,9,3,1,63,3,1,3,2,1,19,2,18,4,3,5,4,0,3,1,3
198,E1001351,36,0,4,1,3,7,2,12,5,4,51,2,3,4,0,1,11,2,15,2,2,14,8,7,8,1,3
199,E1001352,55,1,4,1,3,11,0,2,1,3,40,2,4,1,7,1,15,2,31,3,4,9,7,6,2,1,4
200,E1001354,43,1,4,0,5,18,2,25,3,3,79,2,3,4,5,1,13,3,18,5,3,1,0,0,0,1,3
201,E1001355,20,0,3,1,5,14,1,9,3,4,54,3,1,4,1,0,14,2,2,3,3,2,2,0,2,0,3
202,E1001357,21,0,5,1,3,2,2,10,3,3,36,2,1,1,1,1,13,1,1,6,2,1,0,1,0,0,3
203,E1001358,46,0,5,0,3,2,2,8,4,4,74,2,2,1,8,0,23,1,19,2,3,16,13,1,7,1,4
204,E1001360,28,1,2,1,3,2,0,24,2,2,72,2,3,1,1,1,12,1,10,2,2,10,7,1,9,0,2
205,E1001361,26,1,4,2,3,13,2,1,2,1,59,2,1,1,1,1,16,1,6,2,3,5,3,1,3,1,2
206,E1001362,30,1,1,2,3,2,2,20,3,3,85,3,2,1,0,1,15,3,7,1,2,6,2,0,2,1,3
207,E1001366,38,0,5,2,3,6,2,17,1,3,65,2,3,3,0,1,18,1,20,4,2,19,9,1,9,1,3
208,E1001370,40,1,2,2,3,2,2,20,4,1,61,3,3,4,4,1,20,4,14,6,3,11,10,11,1,1,2
209,E1001372,27,1,5,2,3,2,0,8,5,1,87,1,1,3,1,1,19,4,3,4,3,3,2,1,2,1,2
210,E1001374,55,1,5,2,3,16,1,2,1,4,65,3,3,2,3,1,18,2,23,4,3,3,2,1,2,1,3
211,E1001376,44,1,4,2,2,9,2,1,2,2,91,2,3,1,9,1,14,4,24,1,3,20,6,3,6,0,2
212,E1001379,33,0,4,1,3,15,1,29,4,1,54,2,2,3,1,1,22,2,14,4,3,13,7,3,8,0,2
213,E1001381,34,1,5,1,3,6,1,3,1,1,45,3,2,4,0,1,17,3,7,1,2,6,2,0,4,1,3
214,E1001384,25,1,2,2,3,16,2,4,1,4,32,3,1,4,1,0,15,2,7,3,4,7,7,5,6,0,3
215,E1001385,26,1,4,0,3,16,2,21,3,1,37,3,1,3,1,1,20,3,1,0,2,1,1,0,0,0,4
216,E1001387,42,1,4,2,3,11,2,2,2,4,35,3,4,1,0,1,17,4,23,3,3,22,6,13,7,1,3
217,E1001389,28,1,4,0,3,16,1,1,3,1,45,2,1,2,1,1,15,1,1,2,3,1,0,0,0,0,3
218,E1001391,50,1,1,1,5,18,1,1,4,4,81,3,2,3,3,0,14,4,5,4,3,0,0,0,0,0,3
219,E1001392,33,0,5,2,5,18,1,7,3,4,30,3,2,2,0,1,17,3,4,3,3,3,2,0,2,1,3
220,E1001393,34,1,5,2,3,15,0,3,4,3,40,2,1,4,3,1,17,4,6,2,3,0,0,0,0,1,3
221,E1001394,48,1,4,1,3,16,0,1,4,1,35,4,4,4,2,1,22,3,27,3,2,5,4,2,1,1,2
222,E1001395,45,0,5,2,5,18,0,9,4,2,65,2,2,3,1,1,13,4,15,2,3,15,10,4,12,1,2
223,E1001396,52,1,5,1,3,6,2,7,4,2,87,3,3,2,7,1,19,4,18,4,3,8,6,4,0,1,2
224,E1001397,38,1,3,0,5,18,2,10,4,3,73,2,3,3,0,0,14,2,9,2,3,8,7,2,7,1,3
225,E1001398,29,0,5,0,3,16,2,28,4,3,93,3,1,4,4,1,22,1,11,1,3,7,5,1,7,1,4
226,E1001399,28,0,4,0,3,7,2,3,3,4,93,3,3,2,0,1,17,2,10,3,2,9,7,1,7,1,3
227,E1001402,46,1,3,2,5,11,2,3,1,1,52,3,4,3,3,1,12,4,23,3,3,12,9,4,9,1,2
228,E1001403,38,1,3,1,5,18,2,2,2,4,32,3,3,2,7,1,16,3,10,2,3,1,0,0,0,1,3
229,E1001405,39,1,5,0,3,6,1,2,3,1,84,3,4,4,7,1,11,4,21,4,3,18,7,11,5,0,2
230,E1001406,40,1,4,1,3,16,2,14,3,3,44,2,5,3,1,1,14,1,21,2,4,20,7,4,9,1,3
231,E1001410,39,1,5,1,3,13,0,9,3,3,70,3,2,2,9,1,15,3,9,2,2,5,4,0,3,1,3
232,E1001411,36,1,5,1,3,7,0,18,4,1,78,3,2,4,2,1,20,1,18,0,3,11,9,0,9,1,3
233,E1001413,31,1,5,2,5,14,1,20,3,3,67,4,1,4,0,1,12,1,3,4,3,2,2,2,2,1,3
234,E1001414,28,1,5,2,3,16,2,2,1,1,67,2,1,2,0,1,17,1,6,2,1,5,3,0,4,1,3
235,E1001415,35,1,3,0,5,18,1,11,2,4,54,3,2,4,1,1,11,4,5,3,3,5,2,0,2,1,3
236,E1001416,49,1,2,2,5,18,2,8,4,4,56,2,4,2,6,1,17,2,22,3,3,9,8,2,3,1,3
237,E1001418,34,1,5,1,3,16,1,2,2,4,95,3,2,3,2,1,11,4,5,3,2,3,2,0,2,1,3
238,E1001421,29,0,5,0,3,15,1,10,3,4,61,3,1,2,0,1,14,4,8,2,2,7,5,1,1,1,3
239,E1001426,42,1,4,1,3,13,2,29,3,2,56,1,2,4,4,1,19,1,16,3,3,1,0,0,0,1,3
240,E1001428,29,1,4,2,3,7,2,8,1,2,79,2,2,4,1,0,15,3,10,2,2,10,7,1,2,1,2
241,E1001432,28,1,5,0,3,15,1,6,3,3,39,2,1,3,1,0,14,4,3,2,3,3,1,0,2,1,3
242,E1001434,18,1,4,1,3,13,0,8,1,3,80,3,1,3,1,1,12,4,0,0,3,0,0,0,0,0,3
243,E1001435,33,0,3,1,5,18,2,9,4,1,77,3,2,1,0,0,17,1,6,3,3,5,2,0,3,0,3
244,E1001436,41,1,5,2,3,13,2,12,4,2,46,3,1,4,3,0,11,1,6,4,3,1,0,0,0,1,3
245,E1001438,31,1,4,2,3,13,1,15,3,3,72,3,1,3,1,1,12,3,2,5,2,2,2,2,2,0,3
246,E1001439,37,0,4,0,3,6,2,25,2,3,52,2,2,4,7,1,13,3,9,2,3,6,2,1,3,1,3
247,E1001440,27,1,5,2,3,15,2,6,3,4,55,2,1,3,1,1,13,3,4,0,3,4,2,2,2,1,3
248,E1001441,34,0,5,2,5,18,2,9,1,2,70,3,2,3,1,1,20,1,6,3,2,6,5,1,3,1,2
249,E1001442,35,1,2,1,2,9,2,8,4,3,100,3,1,3,1,1,17,2,6,2,1,5,4,1,4,1,2
250,E1001443,29,0,5,2,5,18,2,23,1,4,45,2,3,1,1,1,13,1,11,3,1,11,8,3,10,0,2
251,E1001444,40,0,4,1,3,4,1,9,4,2,88,3,3,3,9,1,17,3,20,3,2,18,7,2,13,1,2
252,E1001445,42,1,5,1,5,18,1,12,3,3,44,3,4,1,0,0,12,2,22,2,2,21,9,13,14,0,3
253,E1001449,42,1,3,1,5,18,2,4,4,2,45,3,2,1,7,1,13,4,9,3,4,6,4,1,5,1,4
254,E1001451,24,1,4,1,3,13,2,24,3,4,49,3,1,2,8,1,22,4,6,2,3,4,3,1,2,1,4
255,E1001453,28,0,5,2,3,16,2,12,1,3,79,3,1,4,1,0,11,4,1,4,2,1,1,0,0,0,3
256,E1001455,26,1,4,2,3,16,2,3,4,1,82,4,1,4,1,1,22,2,8,2,3,8,7,0,7,1,3
257,E1001457,30,1,3,2,5,18,2,10,3,3,72,2,2,3,1,1,18,1,10,3,3,10,3,1,4,1,3
258,E1001458,40,0,4,2,3,15,1,26,2,3,92,2,2,4,3,0,13,4,16,3,1,1,1,0,0,1,3
259,E1001460,35,1,5,0,3,7,2,2,3,3,44,2,3,2,2,1,18,2,15,2,4,7,7,6,4,1,3
260,E1001462,34,1,4,1,3,6,1,1,3,4,97,2,2,1,0,1,20,3,14,3,3,13,9,4,9,1,4
261,E1001463,35,1,1,2,3,13,1,4,4,4,47,2,1,4,1,1,13,2,2,2,4,2,2,2,2,1,3
262,E1001466,43,0,3,1,5,18,2,9,3,1,85,1,2,3,8,1,13,2,7,2,2,4,3,1,3,0,2
263,E1001468,32,0,5,0,5,14,0,2,1,3,76,3,1,1,1,1,12,3,1,3,3,1,0,0,0,1,3
264,E1001469,56,0,2,0,3,11,2,4,4,4,92,3,5,1,4,1,13,4,28,2,3,5,2,4,2,1,3
265,E1001470,29,0,4,2,3,16,2,6,1,2,54,3,1,4,1,1,13,1,10,5,3,10,8,0,8,1,3
266,E1001471,19,1,5,1,3,15,2,9,2,3,54,3,1,1,1,1,25,3,1,4,3,1,1,0,0,1,4
267,E1001473,45,0,4,2,3,16,2,7,3,1,83,3,1,3,4,0,19,3,7,2,2,3,2,0,2,1,3
268,E1001474,37,0,5,2,3,7,2,1,3,4,56,2,2,4,1,1,13,2,14,2,2,14,8,3,11,1,3
269,E1001478,44,1,5,1,3,16,2,10,4,3,96,3,1,3,1,0,11,3,6,4,3,6,4,0,2,0,3
270,E1001479,53,0,4,0,3,16,2,7,2,4,50,3,5,3,3,1,18,2,26,6,3,7,7,4,7,1,3
271,E1001481,22,1,5,2,3,16,1,3,4,3,48,2,1,4,0,0,11,2,1,5,3,0,0,0,0,0,3
272,E1001482,46,0,3,2,5,11,2,2,3,3,69,3,4,1,8,1,23,1,28,2,3,26,15,15,9,1,4
273,E1001484,44,1,5,1,3,15,0,17,3,4,74,1,1,3,2,1,13,4,6,3,3,0,0,0,0,1,3
274,E1001485,33,1,0,2,2,9,2,2,3,2,99,3,1,3,1,1,13,4,5,2,3,5,4,1,4,1,2
275,E1001489,30,1,5,0,5,18,2,29,4,3,61,3,2,1,8,1,19,3,8,3,3,4,3,0,3,1,3
276,E1001490,40,1,4,2,5,18,1,2,4,2,62,3,2,2,5,1,12,4,5,2,3,0,0,0,0,1,3
277,E1001493,50,0,4,2,3,16,1,2,3,4,30,3,4,1,2,1,22,3,32,3,3,2,2,2,2,1,4
278,E1001495,46,1,5,2,3,16,2,15,2,4,52,3,5,2,5,1,11,1,25,2,3,4,2,0,3,1,3
279,E1001496,35,1,5,2,5,18,2,17,4,3,94,3,2,1,3,0,15,4,15,2,3,7,7,1,7,1,3
280,E1001497,24,0,5,2,3,13,2,17,2,4,97,3,1,2,1,1,13,1,1,3,1,1,0,0,0,0,3
281,E1001498,33,0,4,2,5,18,1,25,3,2,82,3,2,3,1,1,12,1,10,3,2,10,7,0,1,1,3
282,E1001499,36,1,5,0,3,13,2,6,4,3,60,1,1,3,1,1,14,3,7,4,3,7,7,1,7,1,3
283,E1001503,44,1,1,1,3,15,2,29,4,4,32,3,2,4,1,1,25,2,20,3,3,20,11,13,17,1,4
284,E1001509,42,1,4,2,2,9,0,2,5,4,79,4,2,1,7,1,16,1,10,3,4,4,3,0,3,1,4
285,E1001512,32,0,1,2,3,13,1,13,3,3,77,2,1,2,1,1,20,3,2,2,3,2,2,2,2,1,4
286,E1001513,32,0,5,1,3,16,1,2,2,4,38,3,2,3,4,0,14,4,10,2,3,8,7,0,7,1,3
287,E1001515,36,0,2,0,3,7,2,1,3,3,77,1,3,1,2,0,21,3,17,2,3,7,7,7,7,1,4
288,E1001516,33,1,4,2,3,15,2,9,3,1,60,3,1,4,0,1,13,2,15,5,3,14,10,4,10,1,2
289,E1001518,25,1,5,1,5,18,2,10,4,3,57,3,2,4,0,1,14,2,5,4,3,4,3,1,1,1,3
290,E1001520,42,0,4,2,3,4,1,26,5,1,60,3,3,1,3,0,17,3,20,6,3,1,0,0,0,1,3
291,E1001522,27,1,5,2,3,16,2,14,3,1,42,3,1,1,1,0,14,4,9,3,2,9,7,6,8,1,2
292,E1001523,54,0,5,0,3,7,1,1,4,4,53,3,3,3,7,1,17,1,33,2,1,5,4,1,4,1,3
293,E1001524,44,0,5,2,3,16,2,2,1,1,72,4,1,4,1,1,13,4,10,5,3,10,5,7,7,1,2
294,E1001526,19,0,4,1,3,15,0,10,3,1,96,2,1,2,1,0,25,2,1,2,4,1,1,0,0,0,4
295,E1001528,54,1,5,2,3,4,2,3,3,4,85,3,4,4,3,1,14,1,36,2,3,10,9,0,9,1,3
296,E1001529,31,1,4,2,3,16,2,11,2,3,80,3,2,1,1,0,12,4,6,2,2,6,5,0,1,1,3
297,E1001533,43,1,5,2,3,4,2,3,3,3,96,1,5,4,3,1,14,2,25,2,3,8,7,0,7,1,3
298,E1001534,49,1,4,2,3,16,2,4,2,1,85,2,5,3,2,1,13,3,23,2,4,1,0,0,0,1,3
299,E1001535,36,1,2,2,3,15,1,3,3,3,46,3,1,2,1,1,12,3,12,2,2,11,10,0,7,1,3
300,E1001536,48,1,2,1,3,13,2,2,2,4,76,4,1,2,5,1,11,3,7,4,2,1,0,0,0,1,3
301,E1001538,29,1,5,0,3,16,2,7,3,3,82,3,2,4,1,0,11,2,6,2,3,6,0,1,0,1,3
302,E1001541,48,1,5,1,3,4,2,1,3,4,76,2,5,4,6,1,12,3,25,3,4,1,0,0,0,1,4
303,E1001542,29,0,5,0,3,4,2,1,3,4,87,2,4,4,3,1,14,2,9,2,2,7,7,1,7,1,3
304,E1001545,44,1,3,2,5,11,2,5,3,2,88,3,5,2,7,1,11,3,26,5,3,22,9,3,10,1,2
305,E1001548,23,1,5,2,3,15,2,1,2,4,47,3,1,3,1,1,22,4,1,2,3,1,0,0,1,1,4
306,E1001553,26,1,5,1,3,15,2,4,2,3,53,3,1,4,1,0,20,2,8,2,2,8,5,2,2,1,4
307,E1001555,45,0,3,1,5,11,2,2,3,1,94,1,5,2,2,0,16,1,26,2,3,24,10,1,11,0,2
308,E1001556,55,1,4,0,3,6,0,8,1,4,37,2,4,2,1,0,15,4,34,3,3,33,9,15,0,1,3
309,E1001557,21,0,5,1,3,13,1,10,2,1,45,2,1,3,1,1,20,3,2,2,1,2,2,2,2,0,2
310,E1001558,46,0,3,2,5,11,2,4,2,4,33,2,5,2,2,1,14,3,26,2,3,11,4,0,8,1,3
311,E1001559,34,0,3,1,5,18,2,2,3,3,86,3,2,1,0,0,12,4,4,3,3,3,2,0,2,1,3
312,E1001560,51,1,5,0,5,11,1,9,3,4,83,3,5,2,4,0,24,1,31,5,2,29,10,11,10,1,4
313,E1001561,59,1,4,1,3,16,2,18,4,4,67,3,3,4,6,1,12,4,25,6,2,9,7,5,4,1,3
314,E1001563,34,0,4,0,3,13,1,19,3,3,46,3,2,2,4,1,13,3,15,2,4,11,8,5,10,1,3
315,E1001564,28,1,4,1,3,13,1,1,4,4,44,3,1,3,0,0,11,3,5,2,2,4,2,0,2,1,3
316,E1001566,44,1,5,0,3,16,2,4,2,3,92,4,5,1,1,1,14,4,26,4,2,25,9,14,13,1,3
317,E1001567,34,1,5,2,2,9,1,11,3,3,56,2,2,2,4,1,11,4,14,5,4,10,9,1,8,1,3
318,E1001569,35,1,5,2,3,15,2,6,1,3,66,3,1,3,0,0,14,4,4,3,3,3,2,2,2,1,3
319,E1001570,42,0,4,2,3,15,2,7,4,2,78,4,2,2,6,0,16,4,18,2,3,1,0,0,0,1,3
320,E1001571,43,0,3,1,5,18,2,4,4,4,56,2,3,4,3,1,14,4,23,3,4,21,7,15,17,1,3
321,E1001572,36,0,5,1,3,7,2,2,4,3,53,3,2,2,9,0,11,4,18,2,3,16,14,5,12,1,3
322,E1001574,28,1,5,2,3,13,1,2,3,4,52,2,1,4,1,0,12,2,2,2,3,2,2,2,2,1,3
323,E1001575,51,0,4,1,3,13,1,6,2,2,40,2,1,3,0,1,14,2,8,6,2,7,0,7,7,1,3
324,E1001576,30,0,4,1,3,7,0,9,2,3,72,3,2,3,7,0,18,3,10,3,3,8,4,1,7,1,3
325,E1001577,29,0,2,0,3,13,2,7,3,2,39,3,1,3,3,0,13,1,10,2,3,7,7,7,7,0,2
326,E1001579,28,1,2,1,3,15,2,1,3,4,84,3,1,1,2,1,11,2,5,2,2,3,2,1,2,1,3
327,E1001581,25,0,4,1,3,15,2,1,3,4,40,3,1,2,1,1,18,4,2,3,2,2,2,2,1,1,3
328,E1001582,32,1,4,2,5,18,2,8,3,3,56,4,2,4,1,1,15,3,10,4,4,10,7,0,8,1,3
329,E1001584,45,0,4,1,3,11,1,25,3,2,83,3,5,2,3,1,22,3,22,4,3,0,0,0,0,1,4
330,E1001585,39,0,4,0,3,11,2,13,4,3,94,2,4,2,6,0,13,4,21,4,3,19,9,15,2,1,3
331,E1001586,58,1,5,0,3,15,2,23,4,1,88,3,1,3,1,1,12,4,2,3,3,2,2,2,2,1,2
332,E1001587,32,1,5,2,3,16,2,7,2,4,79,3,2,3,1,1,18,1,10,3,3,10,4,1,1,0,3
333,E1001590,36,0,2,2,3,6,2,10,4,4,63,3,3,3,3,1,12,1,10,0,3,7,7,1,7,1,3
334,E1001592,46,0,5,1,2,9,2,1,2,4,44,3,1,1,6,1,12,3,10,3,4,7,6,5,7,1,3
335,E1001593,28,0,5,2,3,16,0,1,3,3,55,1,2,4,0,1,11,1,10,6,3,9,8,7,5,1,3
336,E1001595,50,0,5,2,3,16,2,28,3,4,43,3,4,1,4,0,11,2,25,2,3,3,2,1,2,1,3
337,E1001596,40,1,3,1,5,18,2,25,4,4,57,2,3,2,2,0,12,3,9,2,3,5,4,1,0,0,3
338,E1001597,52,1,5,1,5,18,2,5,3,2,64,3,3,2,9,0,19,3,10,2,2,8,7,7,7,0,2
339,E1001602,31,0,5,0,5,18,0,2,4,4,57,3,3,3,1,0,19,1,10,5,2,10,8,9,6,1,3
340,E1001607,41,1,4,1,5,18,0,10,2,3,40,1,2,2,1,1,13,1,19,4,3,19,2,11,9,1,3
341,E1001614,55,0,4,2,3,11,2,2,2,4,58,1,5,3,4,1,14,4,23,5,3,19,9,9,11,1,3
342,E1001616,56,1,5,1,2,11,2,8,4,4,99,3,5,2,6,1,14,1,36,4,3,7,3,7,7,1,3
343,E1001618,40,1,5,0,3,15,0,16,2,3,74,3,1,3,9,1,16,2,6,0,3,4,2,0,0,1,3
344,E1001622,34,1,5,0,3,6,2,9,3,4,86,3,3,4,0,1,11,4,10,0,2,9,7,1,6,1,3
345,E1001627,41,0,3,0,5,18,1,1,3,3,66,3,2,1,0,1,17,4,10,2,3,9,3,1,7,1,3
346,E1001628,35,1,5,1,3,15,1,4,4,3,87,3,2,3,1,0,11,2,9,3,3,9,6,1,1,1,3
347,E1001630,51,1,5,0,2,11,2,5,3,3,84,3,4,2,1,0,11,2,33,2,3,33,9,0,10,1,3
348,E1001633,38,0,5,0,5,18,2,2,2,2,31,3,2,1,3,1,15,4,11,3,3,7,7,1,7,1,2
349,E1001634,34,0,4,1,5,18,2,15,2,3,66,3,2,1,1,1,12,4,10,6,4,10,8,9,6,1,3
350,E1001636,25,1,4,2,3,13,2,19,1,4,67,3,1,4,3,1,11,3,7,6,2,3,2,1,2,1,3
351,E1001638,58,0,4,2,3,7,2,7,4,3,53,2,3,1,7,0,14,4,31,0,2,10,9,5,9,0,3
352,E1001639,40,1,5,2,3,13,2,1,4,2,88,3,1,2,3,1,22,3,7,3,3,4,2,0,3,1,3
353,E1001640,36,0,3,2,5,18,1,7,3,1,83,4,2,1,2,1,16,4,17,2,2,15,7,6,13,1,2
354,E1001641,48,1,5,1,3,7,2,4,3,4,54,3,3,4,1,1,11,3,11,2,3,10,9,0,8,1,3
355,E1001642,27,0,4,2,5,14,2,11,3,3,98,4,1,4,8,1,14,2,5,4,3,1,0,0,0,1,3
356,E1001645,51,0,2,1,3,16,2,11,2,4,82,2,4,2,3,1,16,2,29,1,2,5,2,0,3,1,3
357,E1001646,18,0,5,1,3,16,0,1,3,4,97,3,1,4,1,1,15,3,0,5,4,0,0,0,0,1,4
358,E1001647,35,0,4,2,3,13,2,1,3,4,60,2,2,4,0,1,12,2,10,0,3,9,7,0,0,1,3
359,E1001649,27,1,5,1,5,18,1,2,1,4,43,1,2,4,3,1,20,2,8,3,3,6,2,0,0,1,4
360,E1001650,55,1,3,1,5,18,2,13,4,1,85,4,4,3,6,0,17,3,24,2,2,19,7,3,8,0,2
361,E1001651,56,1,5,2,3,16,2,23,3,4,68,3,4,2,4,0,12,1,33,0,3,19,16,15,9,1,3
362,E1001652,34,0,2,0,3,15,0,26,1,1,92,2,1,3,1,1,20,3,5,2,3,5,4,0,0,1,3
363,E1001653,40,0,4,0,3,16,2,2,1,2,89,4,2,3,5,1,20,2,15,0,3,12,11,11,8,1,2
364,E1001655,34,1,4,2,3,13,2,29,3,2,86,3,2,3,4,1,13,1,10,1,3,8,7,7,7,1,2
365,E1001657,31,0,5,1,5,14,1,2,3,3,90,2,1,4,7,1,14,3,3,3,4,1,0,0,0,0,3
366,E1001660,38,1,5,0,3,15,1,7,3,4,57,4,1,3,1,1,11,4,4,2,3,4,2,0,3,1,3
367,E1001661,34,0,2,1,3,6,2,2,4,3,98,3,2,4,1,1,11,4,14,2,4,14,11,4,11,1,3
368,E1001665,28,1,5,2,5,18,2,26,3,3,48,2,2,1,1,1,11,3,5,0,3,5,3,0,4,1,3
369,E1001668,39,1,5,2,5,18,2,21,4,1,44,2,2,4,3,0,12,4,8,2,4,5,4,1,4,1,2
370,E1001669,51,1,3,2,5,18,1,2,3,2,52,3,3,2,2,1,11,2,14,5,3,4,2,3,2,1,2
371,E1001670,41,0,5,0,3,16,1,22,3,4,75,3,2,4,3,0,14,1,12,4,2,6,2,3,3,1,3
372,E1001673,33,1,5,2,5,18,1,5,1,2,61,3,2,4,6,1,13,1,8,2,4,5,4,1,2,1,2
373,E1001674,32,1,3,2,5,18,2,2,1,3,36,3,2,2,0,0,13,1,4,3,2,3,2,1,2,1,3
374,E1001675,39,1,5,2,3,16,0,25,2,3,71,3,3,3,3,1,21,2,13,2,3,6,4,0,5,1,4
375,E1001677,25,1,5,2,5,18,2,18,1,1,93,4,2,3,2,1,11,2,6,3,2,3,2,1,2,1,2
376,E1001679,52,0,4,2,3,7,1,28,2,4,59,4,4,3,2,0,11,2,24,3,2,5,3,0,2,1,3
377,E1001680,43,0,4,1,3,15,2,6,3,1,73,2,2,3,1,0,14,1,20,3,1,20,7,1,8,1,2
378,E1001681,27,0,3,2,5,18,2,10,3,4,98,2,2,4,1,0,11,4,6,3,3,6,2,4,4,1,3
379,E1001683,27,0,5,1,3,15,2,17,4,4,51,3,1,3,1,0,13,4,8,2,3,8,2,7,7,0,3
380,E1001685,26,1,4,1,3,15,2,2,1,1,36,2,1,4,0,1,12,4,5,2,3,4,3,1,1,1,3
381,E1001686,42,0,0,2,2,11,2,10,3,3,31,3,4,1,0,1,14,3,21,5,3,20,7,0,9,1,3
382,E1001689,37,0,4,1,3,16,2,11,3,1,94,3,1,3,4,1,18,1,8,6,3,3,2,0,2,1,3
383,E1001690,35,1,5,1,3,7,1,18,2,3,60,3,3,4,2,1,11,3,10,2,3,2,2,2,2,1,3
384,E1001693,25,1,2,2,3,13,2,1,3,1,81,3,1,4,4,1,11,2,7,2,2,3,2,0,2,1,3
385,E1001697,29,1,1,1,2,9,2,17,3,2,51,2,3,1,1,1,13,1,10,3,2,10,9,0,9,1,3
386,E1001698,49,1,5,1,3,16,1,28,2,1,97,2,2,1,3,1,20,1,20,2,3,4,3,1,3,0,3
387,E1001700,54,0,4,1,3,4,2,1,3,4,54,3,4,4,6,1,19,4,29,3,2,20,7,12,7,1,3
388,E1001701,58,0,4,2,3,16,2,1,3,4,76,3,5,1,3,0,21,3,32,3,3,9,8,1,5,1,4
389,E1001703,36,0,3,1,5,18,2,3,4,1,99,3,2,2,3,0,16,4,15,3,3,5,4,0,1,1,3
390,E1001705,31,0,5,1,5,14,1,1,4,2,50,1,1,3,1,1,12,2,1,3,3,1,0,0,0,0,3
391,E1001706,30,0,3,0,5,18,2,7,4,4,73,3,2,1,7,1,14,2,8,3,3,3,2,0,2,1,3
392,E1001708,31,0,5,1,3,4,2,8,5,1,93,3,4,2,3,1,11,3,9,3,4,3,2,1,0,1,3
393,E1001709,34,1,1,0,3,15,1,1,4,4,91,3,1,1,5,1,14,3,10,2,3,4,3,1,3,1,3
