,EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
394,E1001711,31,0,5,1,3,15,2,8,3,1,34,2,1,2,1,1,12,3,1,3,4,1,0,0,0,0,3
395,E1001712,27,1,5,2,3,16,2,11,1,2,91,3,1,1,0,1,14,2,6,3,4,5,0,1,4,1,3
396,E1001713,36,1,5,1,3,13,2,4,4,1,37,2,2,4,1,1,16,3,10,2,2,10,4,1,8,1,2
397,E1001716,47,1,2,2,3,15,2,1,3,1,74,3,1,4,7,1,12,3,17,2,2,6,5,1,2,1,2
398,E1001717,25,1,5,2,5,14,2,9,2,1,68,2,1,1,3,1,12,1,6,2,3,3,2,2,2,0,2
399,E1001718,37,1,2,1,3,16,0,5,2,3,84,4,1,3,0,1,14,1,7,2,1,6,5,1,3,1,3
400,E1001719,56,0,5,2,3,16,2,1,2,1,90,3,1,1,2,1,22,4,5,3,4,3,2,1,0,1,4
401,E1001723,24,0,4,2,5,18,2,4,1,4,42,3,2,3,1,0,12,3,5,3,3,5,4,0,3,1,3
402,E1001725,34,0,5,2,3,13,2,1,3,4,86,2,1,2,5,1,17,1,7,2,2,5,4,0,2,1,3
403,E1001726,41,1,4,2,3,16,2,5,5,2,90,4,1,3,2,0,12,1,7,5,2,4,2,0,3,1,3
404,E1001727,40,1,1,0,3,13,0,9,4,3,81,3,2,3,3,1,11,3,11,2,4,8,7,0,7,1,3
405,E1001731,31,1,5,0,5,18,2,8,2,1,31,3,3,4,1,1,18,1,13,5,3,13,7,9,9,1,2
406,E1001736,39,0,5,1,3,13,0,2,3,1,54,2,1,1,2,0,23,2,11,2,4,1,0,0,0,0,4
407,E1001737,31,0,5,1,3,16,1,1,5,3,100,4,3,2,1,1,11,1,10,2,3,10,8,4,7,0,3
408,E1001738,45,1,4,0,3,16,2,20,3,2,95,1,3,1,2,0,18,2,24,2,3,7,7,0,7,1,3
409,E1001739,31,0,4,1,2,9,2,8,2,4,96,4,1,2,9,1,18,4,8,3,3,3,2,0,2,1,3
410,E1001743,45,1,2,2,3,16,2,29,3,2,55,3,3,4,4,0,18,4,10,4,4,3,1,1,2,1,3
411,E1001745,34,0,2,2,2,9,2,9,4,1,52,3,1,3,1,1,15,4,2,0,3,2,2,2,2,0,2
412,E1001746,40,1,4,0,3,4,0,8,1,4,55,2,3,2,2,1,11,3,16,5,3,9,8,4,8,1,3
413,E1001749,44,1,5,1,3,13,0,5,3,3,90,2,1,3,3,1,14,4,7,5,3,5,2,0,3,1,3
414,E1001751,49,1,2,2,3,16,2,5,4,1,96,3,2,3,2,1,14,2,20,0,2,3,2,1,2,1,2
415,E1001752,40,1,4,0,3,15,2,2,3,3,68,3,1,3,2,1,14,3,8,3,4,3,1,1,2,1,4
416,E1001753,44,1,5,1,3,16,2,20,3,4,49,3,1,2,1,1,13,3,6,3,2,5,2,1,3,1,3
417,E1001755,33,1,4,2,5,18,1,7,3,4,54,3,2,1,0,1,14,1,5,2,3,4,3,0,3,1,3
418,E1001756,34,1,1,1,5,18,2,3,3,4,81,1,2,1,3,1,18,4,15,2,3,13,9,3,12,1,3
419,E1001757,30,1,5,2,5,18,2,16,1,4,96,3,2,3,8,1,15,3,4,2,2,2,1,2,2,1,3
420,E1001758,42,0,4,1,3,13,1,9,2,1,74,3,1,4,1,1,13,3,12,3,3,12,9,5,8,1,2
421,E1001759,44,0,3,2,5,18,1,1,5,1,79,3,2,3,7,1,12,3,11,4,2,1,0,0,0,1,3
422,E1001760,30,1,2,0,3,15,0,7,3,3,64,3,1,3,1,1,13,2,1,2,2,1,0,0,0,1,3
423,E1001761,57,1,5,2,3,15,2,1,2,2,93,4,2,3,0,1,24,1,13,2,2,12,9,2,8,1,2
424,E1001762,49,1,5,0,3,16,2,7,4,3,35,3,3,2,3,1,14,2,29,3,3,8,7,0,7,1,3
425,E1001763,34,1,4,0,3,4,1,15,3,2,71,3,4,1,7,1,14,4,16,3,2,14,8,6,9,1,2
426,E1001764,28,1,2,2,5,14,1,1,3,1,92,3,1,3,3,1,15,4,5,3,4,3,2,1,2,0,2
427,E1001767,34,0,4,1,5,18,2,24,4,1,40,2,2,2,0,0,23,3,16,2,4,15,9,10,10,0,2
428,E1001770,35,1,5,2,5,14,2,7,1,4,76,3,1,3,1,1,13,1,1,3,3,1,0,0,0,1,3
429,E1001773,24,0,5,2,5,14,0,13,2,4,78,3,1,2,1,1,13,3,1,2,3,1,0,0,0,1,3
430,E1001774,44,1,4,1,3,16,1,2,1,2,86,3,3,3,5,0,18,2,16,2,2,2,2,2,2,1,2
431,E1001775,29,1,5,0,5,18,2,19,3,3,77,2,2,3,1,1,14,3,10,3,3,10,7,0,4,1,3
432,E1001779,55,1,5,2,3,16,2,4,4,4,30,3,2,3,0,0,16,2,4,2,3,3,2,1,2,1,3
433,E1001780,33,0,4,2,3,16,2,4,4,1,82,2,1,2,8,1,11,4,8,5,3,5,4,0,2,1,3
434,E1001781,47,0,4,2,5,18,2,14,3,3,78,3,2,3,3,0,17,3,11,4,2,5,4,1,2,1,3
435,E1001782,28,1,4,1,3,13,1,2,2,3,38,2,1,1,7,1,11,3,8,2,2,0,0,0,0,0,3
436,E1001784,28,1,5,0,3,16,2,1,3,1,72,2,1,3,1,1,14,4,1,2,1,1,0,0,0,1,3
437,E1001785,28,1,5,1,5,18,1,7,3,3,55,3,2,1,0,1,14,4,5,5,3,4,2,1,3,1,3
438,E1001787,49,0,4,2,3,13,2,3,2,3,43,2,2,1,4,1,25,1,10,3,3,3,2,1,2,1,4
439,E1001791,29,0,5,2,3,13,1,2,1,4,97,3,1,2,0,1,13,3,4,3,3,3,2,0,2,1,3
440,E1001792,28,1,5,2,3,16,2,29,1,3,96,1,2,2,1,1,14,2,8,2,2,8,6,1,7,1,3
441,E1001793,33,1,5,1,3,6,2,8,5,4,69,3,2,3,2,0,17,1,14,6,3,0,0,0,0,1,3
442,E1001794,32,1,4,1,3,11,2,10,3,3,64,3,3,4,2,1,25,2,10,5,4,5,2,0,0,1,3
443,E1001798,54,0,4,0,3,16,1,11,4,2,87,3,4,4,3,1,20,1,26,2,3,14,9,1,12,1,2
444,E1001800,29,1,2,1,3,15,2,1,4,1,100,2,1,1,6,1,13,3,11,2,1,9,7,0,7,0,3
445,E1001805,46,0,5,2,5,11,2,3,3,3,51,3,4,2,8,1,12,4,23,2,4,13,12,5,1,1,3
446,E1001807,35,0,5,1,3,16,2,16,3,4,91,2,3,2,1,1,19,4,11,3,1,11,8,3,3,1,3
447,E1001811,23,1,5,1,3,13,2,20,1,1,97,3,2,3,0,1,14,2,5,2,3,4,3,1,2,1,2
448,E1001812,40,1,5,1,3,13,2,9,4,4,86,3,1,1,3,1,14,2,15,3,1,5,4,1,0,0,3
449,E1001813,34,1,2,2,5,18,2,1,3,4,64,2,3,3,1,0,14,4,10,3,3,10,9,8,6,1,3
450,E1001817,50,1,4,1,3,4,1,22,5,3,88,1,4,4,1,0,13,4,32,2,3,32,6,13,9,1,3
451,E1001820,42,1,4,2,3,16,2,2,3,3,68,2,1,2,4,1,14,2,4,3,3,1,0,0,0,1,3
452,E1001821,37,1,4,2,3,15,2,13,3,1,47,3,2,4,1,1,17,1,10,2,3,10,8,3,7,1,2
453,E1001822,29,0,1,2,3,6,2,8,1,3,39,1,2,1,3,1,13,3,9,3,3,7,7,0,7,1,3
454,E1001823,33,1,5,1,3,7,2,25,3,4,44,2,2,2,1,1,13,4,5,2,3,5,3,0,2,1,3
455,E1001824,45,1,2,2,3,15,2,28,3,4,97,3,1,4,4,1,20,4,8,3,3,5,4,0,3,1,4
456,E1001825,42,1,5,2,3,6,1,2,3,4,40,3,3,4,2,0,14,3,24,3,1,20,8,13,9,1,3
457,E1001826,40,1,4,2,5,18,2,9,2,1,47,3,2,1,0,1,12,4,9,5,4,8,4,7,1,1,2
458,E1001827,33,1,5,2,3,13,2,28,4,2,79,3,2,3,1,0,12,2,15,3,3,15,14,5,7,1,2
459,E1001828,40,1,4,1,2,11,2,6,2,3,38,3,4,4,1,0,21,4,21,2,3,21,7,7,7,1,4
460,E1001829,24,1,2,0,3,13,2,21,2,3,57,2,1,1,0,1,14,2,2,3,3,1,1,0,0,1,3
461,E1001830,40,1,5,0,3,16,0,8,2,4,72,3,2,4,3,0,18,3,8,2,3,2,2,2,2,1,3
462,E1001831,45,1,2,0,3,6,2,1,4,1,66,3,3,2,1,1,12,1,10,4,3,10,8,7,7,1,2
463,E1001832,35,0,5,2,5,14,2,28,4,2,98,2,1,3,0,1,23,1,6,5,3,5,3,4,2,1,2
464,E1001834,36,1,5,1,5,14,2,2,4,3,70,3,1,4,3,0,21,4,7,3,2,3,2,1,2,1,4
465,E1001835,48,0,5,0,5,18,2,16,4,3,96,3,2,3,8,1,14,3,18,2,3,8,7,7,7,1,3
466,E1001838,33,1,5,2,5,18,2,8,4,1,46,3,2,1,2,1,13,4,8,6,1,2,2,2,2,1,2
467,E1001840,30,1,5,2,5,18,2,1,3,2,64,2,2,1,1,1,11,4,10,4,3,10,8,6,7,0,2
468,E1001841,38,1,0,2,2,9,1,10,4,3,71,3,2,3,3,1,11,3,10,2,3,6,3,1,2,1,3
469,E1001846,30,1,2,2,5,18,2,29,4,3,33,3,3,2,3,1,12,2,9,3,3,4,2,1,3,1,3
470,E1001847,35,0,5,0,3,13,2,2,3,1,69,3,1,1,1,0,12,4,1,2,3,1,0,0,0,0,3
471,E1001850,53,0,2,2,3,7,2,2,5,3,78,2,3,4,0,1,16,2,34,4,3,33,7,1,9,0,3
472,E1001851,38,1,4,2,3,7,2,2,3,3,81,3,2,2,4,1,11,1,7,2,3,5,2,1,4,0,3
473,E1001854,48,0,1,2,3,16,2,15,4,3,65,3,1,1,8,1,12,4,10,3,2,8,2,7,6,1,3
474,E1001855,34,1,4,1,3,15,2,7,4,1,35,3,1,4,1,1,13,3,1,4,1,1,0,0,0,1,3
475,E1001856,55,1,3,2,5,11,2,26,5,3,60,2,5,4,1,1,21,3,36,3,3,36,6,2,13,1,4
476,E1001858,34,1,5,2,3,16,2,1,4,2,45,3,2,4,9,1,17,2,9,3,2,2,2,2,1,1,2
477,E1001860,38,1,5,2,5,18,2,14,3,3,80,3,2,2,0,1,11,4,10,3,3,9,8,7,7,1,3
478,E1001863,36,0,5,1,5,18,2,1,4,2,73,3,2,3,6,1,13,1,15,5,3,1,0,0,0,1,3
479,E1001864,29,1,4,1,3,16,2,3,1,2,87,3,1,1,1,0,18,4,10,3,3,10,9,1,5,1,2
480,E1001865,35,0,4,1,3,6,2,10,4,1,51,3,2,3,3,0,16,3,10,4,3,5,2,0,4,1,3
481,E1001866,39,1,4,2,5,18,2,6,3,4,38,4,3,3,2,1,11,1,11,3,3,7,6,7,6,1,3
482,E1001868,29,1,5,0,1,10,1,2,1,1,87,3,2,4,1,1,19,4,6,0,4,6,4,1,3,1,2
483,E1001869,50,1,3,2,5,11,2,9,3,3,59,3,5,3,4,0,16,3,27,2,3,1,0,0,0,1,3
484,E1001870,23,1,2,2,1,10,2,10,3,4,45,4,1,3,2,1,16,4,4,2,3,2,2,2,2,1,3
485,E1001874,35,1,5,2,1,10,2,28,3,2,46,4,2,3,1,1,17,4,10,3,2,10,9,6,8,1,2
486,E1001875,34,1,2,2,1,10,1,10,4,4,92,2,2,3,1,1,14,2,8,3,2,8,2,7,7,1,3
487,E1001877,43,1,2,0,1,10,2,27,3,4,87,4,1,2,5,1,12,3,8,0,3,6,4,0,2,1,3
488,E1001882,28,1,4,2,1,10,2,24,3,3,51,3,1,2,1,0,17,3,1,3,3,1,1,0,0,0,3
489,E1001883,22,0,1,2,1,10,0,26,2,2,85,2,1,3,1,0,14,2,4,2,2,4,2,1,3,1,2
490,E1001884,50,1,4,2,1,10,1,20,5,2,41,3,4,3,2,0,15,3,32,3,3,30,8,12,13,1,2
491,E1001885,32,0,1,2,1,10,2,5,4,2,35,4,1,4,3,1,17,4,6,3,3,3,2,0,2,1,3
492,E1001886,44,0,4,0,1,10,2,7,3,2,31,3,5,4,0,0,14,4,23,4,2,22,7,1,10,1,2
493,E1001887,30,1,4,2,1,10,2,7,3,2,48,2,1,2,1,1,12,2,6,3,2,6,4,1,1,1,2
494,E1001889,45,0,4,1,1,10,2,5,5,3,50,1,2,1,1,0,14,1,10,3,3,10,7,1,4,1,3
495,E1001890,45,1,3,2,5,18,0,26,3,1,52,2,2,1,1,1,15,1,10,2,3,10,7,4,5,1,2
496,E1001891,31,1,1,1,5,18,1,2,4,4,54,3,2,1,7,1,13,4,10,3,3,5,2,0,3,1,3
497,E1001892,36,0,5,2,1,10,2,12,4,3,76,3,2,3,9,0,12,2,7,2,3,3,2,1,1,1,3
498,E1001893,34,1,5,0,1,10,1,10,4,3,42,4,2,4,1,1,13,1,9,3,3,9,7,7,2,1,3
499,E1001895,49,0,5,2,1,10,2,25,4,3,84,3,1,1,1,1,14,4,10,3,2,9,6,1,4,1,3
500,E1001897,27,1,1,0,1,10,2,19,3,4,67,2,1,1,1,1,11,1,7,3,3,7,7,0,7,1,3
501,E1001899,35,1,5,2,1,10,2,18,5,2,48,4,2,1,1,1,11,4,16,2,3,16,15,1,10,1,2
502,E1001900,28,0,4,0,1,10,2,27,3,2,39,1,2,1,0,1,21,2,6,5,2,5,3,0,0,1,3
503,E1001901,21,1,4,1,1,10,2,5,1,3,97,3,1,4,1,1,18,3,3,2,3,2,2,2,2,1,3
504,E1001902,18,0,4,1,5,14,1,3,2,2,70,3,1,4,1,0,12,3,0,2,4,0,0,0,0,0,3
505,E1001903,47,0,5,2,2,11,2,26,4,4,98,3,5,3,3,1,11,3,27,2,3,5,2,1,0,1,3
506,E1001905,39,1,4,0,1,10,2,3,2,3,76,2,2,3,0,1,15,4,11,3,3,10,8,0,7,1,3
507,E1001908,35,0,5,2,1,10,0,8,4,3,52,3,2,3,1,1,12,4,15,5,3,14,11,2,9,1,3
508,E1001909,37,1,5,2,1,10,2,19,3,3,85,3,2,3,3,1,17,1,9,2,2,4,3,0,2,1,3
509,E1001911,39,0,4,1,1,10,1,4,3,1,81,3,2,3,0,1,13,4,10,2,1,9,2,3,8,1,2
510,E1001916,38,0,4,2,1,10,2,2,2,4,54,2,3,3,3,0,19,4,10,6,4,5,4,0,2,1,3
511,E1001918,37,0,4,2,1,10,2,10,3,2,71,3,1,2,1,1,11,1,8,2,1,8,4,7,7,1,2
512,E1001919,40,0,5,1,1,10,2,16,3,3,84,3,3,4,6,0,15,4,18,2,2,4,2,3,3,1,3
513,E1001920,44,1,0,2,2,9,1,1,5,1,37,3,2,4,4,0,11,3,14,3,3,10,7,0,2,1,3
514,E1001923,35,1,4,0,5,18,2,15,2,1,59,1,2,4,6,0,14,4,7,2,2,2,2,2,2,0,2
515,E1001924,24,0,2,1,1,10,1,2,1,1,32,3,1,4,1,0,13,3,6,2,3,6,3,1,3,1,2
516,E1001925,27,0,4,2,1,10,2,8,3,2,86,4,1,3,7,1,17,1,5,0,3,3,2,0,2,1,3
517,E1001926,27,1,4,1,1,10,1,2,3,4,87,3,1,4,2,1,13,3,6,0,2,4,2,1,2,1,3
518,E1001931,25,1,5,0,1,10,1,2,1,4,77,4,2,3,1,1,17,3,7,6,3,7,7,0,7,1,3
519,E1001932,39,1,4,2,1,10,2,12,3,4,66,3,2,2,4,1,21,3,7,3,3,5,4,1,0,1,4
520,E1001933,49,0,1,2,1,10,2,22,4,1,72,3,4,2,3,1,16,2,27,2,3,4,2,1,2,1,2
521,E1001934,50,0,5,0,1,10,2,17,5,4,50,2,3,1,5,1,15,3,19,3,3,14,11,1,11,1,3
522,E1001935,20,0,4,1,5,14,2,2,3,3,31,3,1,3,1,1,19,1,2,3,3,2,2,2,2,1,3
523,E1001936,34,0,5,0,1,10,2,3,3,4,66,3,2,2,1,1,12,3,11,2,3,11,8,7,9,1,3
524,E1001937,36,1,5,1,1,10,2,7,3,1,77,3,1,2,2,1,11,3,15,4,3,4,3,1,3,1,2
525,E1001939,49,0,5,2,1,10,2,6,1,3,41,2,4,3,2,0,19,2,30,3,3,15,11,2,12,1,3
526,E1001940,36,0,4,2,1,10,0,1,4,4,33,2,2,3,0,1,15,3,4,6,3,3,2,1,2,1,3
527,E1001942,36,1,5,0,1,10,2,3,2,4,79,4,2,1,6,1,20,1,13,3,3,5,4,0,4,1,4
528,E1001943,54,0,4,2,1,10,2,22,5,2,91,3,4,3,3,1,25,3,36,6,3,10,8,4,7,1,2
529,E1001944,43,1,5,2,1,10,2,15,2,3,65,2,4,3,1,1,24,1,14,3,3,14,10,6,11,1,4
530,E1001945,35,1,1,1,5,18,1,12,4,4,36,3,2,4,3,0,24,1,13,2,4,11,9,6,7,0,4
531,E1001947,29,1,4,0,5,18,2,5,3,1,43,2,2,2,1,0,13,2,10,3,2,10,0,0,9,1,3
532,E1001948,33,1,4,0,5,18,2,2,4,4,93,3,2,4,1,1,14,3,6,5,3,6,2,0,4,1,3
533,E1001949,32,1,4,0,1,10,2,2,3,4,45,3,2,2,0,1,13,3,10,4,2,9,5,1,6,1,3
534,E1001951,31,0,5,2,5,18,2,5,4,1,67,3,2,4,1,1,11,1,10,2,3,10,0,0,2,1,3
535,E1001952,49,0,4,0,1,10,2,16,3,4,74,3,1,1,4,0,16,2,17,2,2,2,2,2,2,1,3
536,E1001958,20,1,5,1,5,14,2,9,1,4,54,3,1,1,1,1,11,1,2,3,3,2,2,0,2,1,3
537,E1001959,33,0,5,0,5,18,0,16,3,3,36,3,2,4,1,0,25,3,7,2,3,6,5,1,2,1,4
538,E1001960,36,1,5,2,1,10,2,26,4,1,80,3,2,3,6,1,14,2,10,2,2,3,2,0,2,1,3
539,E1001961,44,0,5,0,2,9,2,1,3,3,44,3,1,4,4,0,18,1,8,2,3,2,2,2,2,1,3
540,E1001962,23,1,4,1,1,10,2,8,1,4,93,2,1,3,1,0,11,1,5,2,3,5,4,1,2,0,3
541,E1001965,38,0,4,2,1,10,2,4,2,4,87,3,1,3,7,1,19,4,7,5,2,0,0,0,0,1,3
542,E1001967,53,1,4,2,1,10,2,24,4,2,48,4,3,4,3,1,15,3,11,2,3,4,3,1,2,1,2
543,E1001969,48,0,4,2,5,14,1,7,2,4,95,3,1,3,2,0,11,3,19,3,3,9,7,7,7,0,3
544,E1001970,32,1,5,1,1,10,2,2,4,4,95,3,1,2,1,1,12,1,1,2,3,1,0,0,0,0,3
545,E1001971,26,1,4,1,1,10,0,7,3,4,76,3,1,4,1,1,20,3,7,5,3,7,7,5,7,1,4
546,E1001972,55,1,2,0,1,10,2,22,3,1,94,2,1,2,5,1,12,4,8,1,3,4,2,1,2,1,2
547,E1001974,34,1,4,2,3,16,2,5,2,2,57,2,2,4,1,1,14,3,15,3,4,15,10,4,13,1,2
548,E1001975,60,1,4,0,3,6,2,1,4,3,92,1,3,4,3,1,20,3,19,2,4,1,0,0,0,1,4
549,E1001978,37,1,4,0,5,18,1,1,4,3,31,1,2,4,1,1,14,3,6,2,2,6,3,1,3,1,3
550,E1001979,34,0,5,2,3,15,2,19,3,2,35,2,1,4,1,1,12,2,10,3,3,10,9,8,7,1,2
551,E1001981,44,0,5,2,3,6,2,2,3,3,96,4,3,4,1,0,19,2,9,2,3,8,7,6,7,1,3
552,E1001984,43,1,4,2,5,18,2,2,3,4,73,3,2,4,1,0,17,1,10,3,3,10,9,8,8,1,3
553,E1001987,29,0,4,2,3,16,2,9,4,4,43,3,1,3,9,1,17,3,9,2,3,5,3,1,2,1,3
554,E1001988,36,0,5,1,5,14,2,2,4,3,51,3,2,4,3,1,15,3,17,2,2,13,7,6,7,1,3
555,E1001990,45,1,5,2,3,16,0,1,1,3,74,2,3,3,3,1,23,4,25,3,2,23,15,14,4,1,4
556,E1001996,26,1,4,2,3,13,2,17,4,4,62,1,1,3,1,1,15,3,3,3,4,3,2,0,2,1,3
557,E1001997,45,0,2,1,3,16,2,28,2,4,48,2,4,2,1,1,11,3,21,2,3,21,6,8,6,1,3
558,E1001999,31,1,5,2,3,13,2,2,4,2,69,3,1,3,1,1,14,4,6,2,4,5,2,0,3,1,3
559,E1002000,41,1,0,2,2,9,0,4,3,3,60,1,2,2,6,1,19,2,10,4,3,3,2,1,2,1,3
560,E1002002,40,0,5,2,3,7,2,8,2,2,92,3,2,1,2,0,16,2,18,3,3,1,0,0,0,1,3
561,E1002003,24,1,4,0,3,13,2,29,1,2,91,3,1,1,1,1,13,2,6,2,4,6,2,1,2,1,2
562,E1002005,46,1,5,1,3,6,2,13,4,3,34,3,2,2,6,1,14,4,19,3,3,10,7,0,9,1,3
563,E1002007,30,1,5,2,3,15,2,16,1,2,33,3,1,4,1,1,12,2,10,2,2,10,0,0,8,1,3
564,E1002009,47,1,3,2,5,18,0,2,4,3,87,3,2,2,7,1,11,4,4,3,1,1,0,0,0,1,3
565,E1002010,46,1,5,0,5,18,2,2,3,3,74,3,3,4,4,0,12,2,13,5,2,10,6,0,3,1,3
566,E1002011,36,1,3,0,5,18,2,13,5,2,96,2,2,1,5,0,13,2,16,3,3,2,2,2,2,0,2
567,E1002012,32,1,5,1,5,18,2,1,2,1,34,1,2,2,6,1,15,2,10,2,3,0,0,0,0,0,3
568,E1002014,31,0,2,1,3,7,1,24,1,4,30,3,2,4,2,1,20,4,9,3,2,5,4,1,4,1,4
569,E1002015,39,1,5,2,3,13,0,1,3,4,77,3,2,4,1,0,15,4,9,2,3,9,8,5,8,1,3
570,E1002017,32,1,5,2,5,18,2,19,3,4,80,1,3,3,3,1,13,3,10,2,1,4,3,0,2,1,3
571,E1002018,40,1,4,1,5,11,2,7,4,2,88,3,5,2,1,1,14,2,21,3,2,21,8,12,8,1,2
572,E1002022,45,0,5,2,2,9,2,4,3,3,56,1,3,3,4,1,21,3,9,2,4,5,0,0,3,1,4
573,E1002023,30,0,2,1,3,16,1,2,4,4,78,2,1,1,0,1,16,4,10,2,3,9,7,0,7,1,3
574,E1002024,24,1,4,2,2,9,1,10,3,1,59,3,1,4,0,1,14,4,3,2,3,2,2,2,1,1,2
575,E1002025,30,0,0,0,2,9,1,8,3,3,66,2,1,4,6,1,11,3,6,0,2,4,2,1,2,0,3
576,E1002027,31,1,2,2,5,18,2,5,3,1,51,3,2,3,1,1,19,3,6,3,3,5,2,0,2,1,4
577,E1002029,27,0,4,1,3,16,2,8,3,3,67,3,1,4,1,1,11,3,6,5,2,6,2,1,4,1,3
578,E1002030,29,0,3,1,5,14,2,9,3,2,52,1,1,2,1,1,13,3,2,3,3,2,2,2,2,0,2
579,E1002031,29,1,5,1,3,6,1,1,3,4,70,4,2,3,8,0,12,4,10,5,4,3,2,0,2,1,3
580,E1002032,30,1,3,0,5,18,2,15,2,3,94,2,3,1,2,1,11,1,12,2,3,7,7,1,7,1,3
581,E1002033,34,1,4,2,3,15,2,2,4,4,97,4,1,4,0,0,14,1,6,3,3,5,0,1,2,1,3
582,E1002034,33,0,3,1,5,18,0,2,3,4,62,3,2,2,8,1,15,4,13,2,2,11,7,1,7,1,3
583,E1002035,49,0,3,1,5,18,2,11,4,4,80,3,2,4,3,1,12,3,8,1,4,5,1,0,4,1,3
584,E1002036,33,0,5,1,5,18,2,16,3,1,74,3,3,1,2,0,20,3,11,2,2,0,0,0,0,0,4
585,E1002038,38,0,4,2,3,13,1,2,2,3,75,2,1,2,4,1,14,2,9,4,2,6,1,0,5,1,3
586,E1002042,32,1,2,1,3,15,0,5,4,2,65,3,1,2,2,1,14,2,12,3,3,7,7,0,7,1,3
587,E1002044,38,1,4,2,3,6,2,18,3,2,60,1,2,4,3,0,16,3,15,2,3,1,0,1,0,1,3
588,E1002045,43,1,2,2,3,15,1,17,3,3,38,2,1,3,9,0,16,4,6,4,3,1,0,0,0,0,3
589,E1002048,55,1,4,2,3,4,2,2,3,3,60,2,5,1,8,1,12,2,34,2,3,1,0,0,0,1,3
590,E1002049,33,1,2,0,3,15,0,4,3,4,90,3,2,2,5,1,15,4,11,2,2,9,8,1,7,1,3
591,E1002050,41,1,5,0,3,13,2,9,4,3,94,3,1,1,1,1,20,2,5,2,3,5,3,0,4,1,4
592,E1002052,34,1,5,0,5,18,0,10,3,4,87,3,2,3,1,0,14,3,15,3,3,15,14,0,7,1,3
593,E1002053,53,0,4,2,3,7,0,1,4,1,60,2,4,3,4,0,20,4,27,2,2,3,2,0,2,1,3
